"","","その後どうやって帰ったのか、記憶がはっきりしない。","","",""
"","","アイラと一緒だったのかどうかも、エルさんやアンディがどうしていたのかも、よく覚えていない。","","",""
"","","翌朝、寮で目が覚めたときにはアイラは同じ部屋にいたし、何度か声をかけてきてくれたけど、自分がなんて答えたのか思い出せなかった。","","",""
"","","会社に出てきても、仕事がまったく手に付かなかった。","","",""
"","","とにかく頭の中が真っ白だった。","","",""
"","","なにも考えられなくて、抜け殻みたいにただ座っていた。","","",""
"アイラ","","…………","","",""
"ミチル","","ツカサ！　あんた、アイラに告白したって本当なの！？","","",""
"","","慌てた様子でミチルがオフィスに駆け込んできたのが、視界の隅に見えた。","","",""
"タカオ","","しー！　しー！","","",""
"レン","","ミチルくん、それ禁句！","","",""
"ミチル","","はあ……","","",""
"ミチル","","いい！？　部屋のものに勝手に触ったら、ただじゃおかないんだからね！","","",""
"ミチル","","ザック、ツカサがもしちょっとでも怪しい真似したら、部屋から叩き出していいから","","",""
"","","仕事終わりに、なぜか俺はミチルとザックに連行され、気が付けば寮のふたりの部屋にいた。","","",""
"ツカサ","","…………","","",""
"","","でも、それもどうでもいいことだよ……。","","",""
"ザック","","ねえねえツカサ。ミチルの下着が入ってるのはこっちの引き出しで～、あっちには――","","",""
"ミチル","","って、なに教えてんのよ！","","",""
"ザック","","っていうか、なんで僕とツカサが同室にならなくちゃいけないの？　今のツカサ、空気重いしイヤなんだけど","","",""
"ミチル","","しばらく我慢して","","",""
"ミチル","","さすがに、今はツカサとアイラが同じ部屋で顔を合わせるのは気まずいでしょ","","",""
"ミチル","","ふたりに落ち着いてもらうために、部屋割りを替えることにしたの","","",""
"ミチル","","アイラは、女同士っていうことで、私とエルで面倒見る。だからザックは、悪いけどツカサの面倒見てて","","",""
"ザック","","慰めてあげればいいわけ？","","",""
"ミチル","","そこまではしなくていいから","","",""
"ミチル","","ツカサも分かった？　ねえ？","","",""
"","","と、バシーンと背中を平手で叩かれた。","","",""
"ミチル","","あんたね！　いつまでそうしてるつもり？　シャキッとしなさいよ！　なによ、フラれたぐらいで！","","",""
"ツカサ","","う……","","",""
"","","フラ……れた……。","","",""
"","","そう、俺は、フラれたんだ……。","","",""
"ミチル","","あ、しまった……","","",""
"","","また、アイラのあ然とした顔と、“ムリ！”という悲鳴にも似たあの言葉を思い出してしまった。","","",""
"","","頭の中が真っ白に染まって、胸の奥がズキズキと疼く。\n息苦しくなって、歯を食いしばる。","","",""
"ミチル","","まったく","","",""
"","","それからどれぐらい時間が過ぎただろう。","","",""
"","","ふと気付くと、目の前のテーブルに、できたての料理が並べられるところだった。","","",""
"","","その匂いで、今日は一日なにも食べていないことを思い出す。","","",""
"","","顔を上げると、ミチルと目が合った。","","",""
"ミチル","","なによ？","","",""
"ツカサ","","どうして……","","",""
"ミチル","","どうせあんた、ほっといたらなんにも食べずにボーッとしてるつもりだったんでしょ","","",""
"ミチル","","私の部屋で飢え死にでもされたらたまったもんじゃないのよ","","",""
"","","まさか、だからってミチルが作ってくれたの？","","",""
"ザック","","たった一晩飲まず食わずでも、死んだりしないと思うな～","","",""
"ミチル","","なんか言った？","","",""
"ザック","","べっつに～","","",""
"ミチル","","食べ終わるまでは、しょうがないからあんたに付き合ってあげるわよ。ザックはやる気ないみたいだから","","",""
"ミチル","","あくまで、食べ終わるまでだからねっ","","",""
"ミチル","","ほら、冷めないうちに食べなさいよ","","",""
"","","ミチルはわざわざ、俺のために料理を小皿へとよそってくれた。","","",""
"","","その後で自分の分も小分けにしているのを見ると、ここで一緒に食べていくつもりらしい。","","",""
"ツカサ","","ありがとう……","","",""
"ミチル","","フン","","",""
"","","ミチルの腕前だから、きっとおいしいんだろうけど。\n今の俺じゃ、料理の味をほとんど感じられなかった。","","",""
"","","お腹はすいてるけど、食欲もあんまりない。","","",""
"","","ただ、それでも無理にでも料理を口の中にかき込んでいった。","","",""
"","","熱いスープを飲むだけでも、心が少しホッとして、気持ちも落ち着くだろうから。","","",""
"","","食事の後、洗い物の手伝いを買って出た。\nご馳走してもらったんだから、それぐらいしないとミチルに悪い。","","",""
"","","皿洗いみたいな単純作業なら、余計なことを考えずに専念できそうだし。","","",""
"","","洗ったお皿を、横に立つミチルに渡して、ミチルがそれを拭いていく。","","",""
"ツカサ","","あのさ、ミチルは、俺がフラれたって、誰に聞いたの？　昨日の今日なのに……","","",""
"ミチル","","エルが、一部始終を見てたって","","",""
"ツカサ","","あっ……","","",""
"","","あの人か……。","","",""
"ミチル","","エルに聞かれたら、もう内緒にするなんて無理だから。あちこち言い触らすに決まってるじゃない","","",""
"ツカサ","","そう……だね……","","",""
"","","きっと、第１ターミナルサービスのみんなにもとっくに知れ渡ってるだろうなあ……。","","",""
"ミチル","","だいたいねえ、仕事をおろそかにして職場恋愛にうつつを抜かすなんて、新人の分際で生意気なのよ","","",""
"ツカサ","","はい。ごめんなさい……","","",""
"ミチル","","いまだに学生気分が抜け切れてない証拠！","","",""
"ツカサ","","返す言葉もありません……","","",""
"ミチル","","ショックなのは分かるけど、仕事とプライベートはきっちり分けて","","",""
"","","年下の女の子から説教されて、それがすごく正論で。\n本当に俺って、情けないよな。まわりに迷惑かけまくりだ……。","","",""
"ミチル","","今のあんたみたいなふぬけた人間が、家族同然のギフティアを回収に来たら、どう思う？","","",""
"ツカサ","","…………","","",""
"ミチル","","……私の父さんがワンダラーになった話はしたわよね","","",""
"ツカサ","","え？　うん……","","",""
"","","すべての皿を洗い終えると、ミチルがタオルを差し出してくれた。\nありがたく受け取って、手を拭う。","","",""
"ミチル","","父さんを亡くした後、ひとりぼっちになっちゃった私のところに、カヅキさんは毎日のように顔を出してくれたの","","",""
"ミチル","","私の父さんがワンダラーになって見境なくなっちゃったときに、私をかばって足に大怪我まで負ったのに","","",""
"ミチル","","だから今はあの人、左足は義足","","",""
"ツカサ","","……うん","","",""
"ミチル","","その当時はまだ松葉杖だから、私なんかよりも見た目はよっぽど病人っぽくて","","",""
"ミチル","","私、なんだかいたたまれなくなっちゃったから、もう来なくてもいいですって伝えたの","","",""
"ミチル","","でも、そしたら逆にこう言われちゃったわ","","",""
"ミチル","","“ギフティアと所有者の心に寄り添うのが、ターミナルサービスの仕事だ”って","","",""
"ミチル","","“父親の代わりにはなってやれないけど、話し相手にならなれる。せめて、元気になるまではそうさせてほしい”って","","",""
"ツカサ","","…………","","",""
"ミチル","","私はそんなカヅキさんを見て、ターミナルサービスに入りたいって思ったの","","",""
"ミチル","","今ここで働けてることを誇りに思う。だから、あんたがいい加減な気持ちで仕事に向き合ってるなら、私許さないわよ","","",""
"ツカサ","","ごめん……","","",""
"ツカサ","","それと、気遣ってくれて、ありがとう","","",""
"ミチル","","フン。私は、先輩として指導してるだけよ","","",""
"ツカサ","","うん……","","",""
"ミチル","","…………","","",""
"ミチル","","……告白して、後悔してる？","","",""
"ツカサ","","いや","","",""
"ツカサ","","断られちゃったけど、それでも、俺のアイラへの気持ちは、変わらないよ","","",""
"ミチル","","……一途なのね","","",""
"ミチル","","そういうところは、すごいと思――","","",""
"ミチル","","――っ","","",""
"ツカサ","","どうかした？","","",""
"ミチル","","なっ、なんでもないわよ！","","",""
"ミチル","","っていうかあんた、本当に私の話、分かってんの！？","","",""
"ミチル","","だったらボケーッとしてないで、この先アイラとどう付き合ってくのかちゃんと考えなさいよ！","","",""
"ツカサ","","わ、分かった！","","",""
"ミチル","","なにが分かったか口に出して言ってみなさいよ！　聞いてあげるから！","","",""
"ツカサ","","えええ～","","",""
"","","そんな、理不尽な……。","","",""
"","","その後、何時間もミチルにこってり絞られた。","","",""
"","","同室にいるザックですら、さすがにうんざりした顔をしていた。","","",""
"","","ソファに横たわっている状態で目が覚めたのは、かろうじて空が明るくなってきたぐらいの時間だった。","","",""
"","","ミチルは、テーブルに突っ伏して眠っている。\n結局、こっちの部屋で寝ちゃったみたいだ。","","",""
"","","本当は、エルさんと一緒にアイラを落ち着かせるために、隣の部屋に移るつもりだったらしいけど。","","",""
"","","まさか、俺に対するお説教があそこまで長くなるなんて……。ミチル本人も予想していなかったんだろうな……。","","",""
"","","あまりに的確にダメなところを指摘してくるから、俺、何度か泣きそうになっちゃったよ……。","","",""
"","","俺は伸びをしつつ、部屋の中を見回した。","","",""
"","","と、充電装置に座っていたザックと目が合った。","","",""
"ツカサ","","おはよう、ザック。早いね","","",""
"ザック","","おはよ。とりあえず、シャワーでも浴びたら？　ツカサ、臭いから","","",""
"ツカサ","","え、本当？","","",""
"ザック","","ミチルが起きてからだと、またいろいろ注文がうるさいよ。ジロジロ見るなとか、シャンプー使うなとか、タオル使わせないとか","","",""
"ツカサ","","な、なるほど……","","",""
"ザック","","ミチルのこと、起こさないようにしてね。朝はけっこう不機嫌だから。ましてや、誰かに起こされたなんてことになったら、なおさら","","",""
"","","その不機嫌なミチルについては、俺も思い当たる節がある。\n朝に顔を合わせると、当たりがキツいんだよなあ。","","",""
"","","触らぬ神に祟りなしだ。","","",""
"ツカサ","","ザックは、ミチルのことよく見てるね","","",""
"ザック","","ま、一年も一緒に暮らしてるから","","",""
"ツカサ","","そっか","","",""
"","","俺はアイラのこと、まだそこまで知らない。","","",""
"","","俺とアイラが一緒に生活した時間は、ほんの一ヶ月ちょっとだから。","","",""
"","","ザックの厚意に甘えて、お風呂を借りてさっぱりした。","","",""
"","","実は３日前から――つまりカーニバルに行く前の日から、お風呂には入ってなかった。","","",""
"","","カーニバルの会場が海に近かったせいか、潮風で肌や髪がベタベタしていて気持ち悪かったんだけど、それも全部拭い去れて、スッキリできた。","","",""
"","","少しは、立ち直れた……かな。","","",""
"","","シャワーを浴び終えて、出勤の準備をする。","","",""
"","","ミチルはまだ、ずいぶん気持ちよさそうな顔で眠っていた。","","",""
"","","そんな寝方してると、後で身体のあちこちが痛くなったりしないかな……。","","",""
"ツカサ","","ねえ、ザック。そろそろ起こした方がいいんじゃない？","","",""
"","","会社に行く時間を考えると、タイムリミットギリギリだ。女の子だから、男の俺より出かける準備に時間がかかるだろうし。","","",""
"ザック","","ツカサが起こしてよ","","",""
"ツカサ","","俺が？　どうして？","","",""
"ザック","","さっきも言ったけど、ミチルって朝は機嫌悪いからさ","","",""
"ザック","","よろしく♪","","",""
"","","それで、俺を生け贄にしようっていうのか……。","","",""
"","","俺はおそるおそる、ミチルに声をかけた。","","",""
"ツカサ","","ミチル？　朝だよ？　そろそろ準備しないと","","",""
"","","反応はない。\n起きる気配はまったくなし。","","",""
"ツカサ","","おーい？","","",""
"","","少し大きめの声をかけても、やっぱりピクリともしなかった。","","",""
"","","しょうがなく、そっと肩を揺すってみた。","","",""
"ツカサ","","ミチル？","","",""
"ミチル","","う……ん……","","",""
"","","ようやく、ミチルのまぶたがピクピクと震えた。\nかすかに顔を上げ、目をしょぼしょぼさせながら、俺を見た。","","",""
"ミチル","","…………","","",""
"ミチル","","――！？","","",""
"","","まだ寝ぼけてるのかと思ったら、突然ガバッと身を起こす。","","",""
"ツカサ","","起きた？","","",""
"ミチル","","…………","","",""
"ミチル","","あ、うあああ……","","",""
"ミチル","","ね、寝顔……！　みみ、見た！？","","",""
"ツカサ","","え？　ええと","","",""
"ザック","","見てたよ。バッチリとね","","",""
"ミチル","","かぁぅぅぁ～～～！","","",""
"","","頭を抱えて悶絶している。","","",""
"","","そ、そこまで悔しがるほどのことかな……。","","",""
"","","ミチルは散々、小言を言いながらもあっという間に支度を整えた。","","",""
"","","食堂で朝食を食べる余裕はさすがにないから、途中で買っていくことにする。","","",""
"ミチル","","っていうか、なんでもっと早く起こしてくれないのよ！","","",""
"ツカサ","","なんか……怖くて","","",""
"ミチル","","それ、どういう意味！？","","",""
"","","ミチルに怒られながら、部屋を出た。","","",""
"","","と、まったく同じタイミングで、隣の部屋――つまり、エルさんの部屋――のドアが開いた。","","",""
"ツカサ","ツカサ・ミチル","あ……","","",""
"","","当然ながら、現れたのは、エルさんと、アイラで。","","",""
"エル","","おお、おっはようございまーす、おふたりとも","","",""
"アイラ","","…………","","",""
"","","俺は、アイラとばっちり目が合ってしまった。","","",""
"","","そのアイラの視線が、俺から、隣にいるミチルへと移動する。","","",""
"ミチル","","ち、違うの！","","",""
"","","と、ミチルが突然叫んだ。","","",""
"","","でもそのときにはもう、アイラは顔を赤くしながらあわあわしていた。","","",""
"アイラ","","き、き、気にしてないのでっ。私が気にする立場でもないのでのでのでので","","",""
