"번호","이름","닉네임","문장","이름번역","닉네임번역","문장번역"
"0","","","それから数日が過ぎたある日。","","",""
"1","","","俺は、カヅキさんに呼び出された。","","",""
"2","","","なんの用件かは、察しが付いた。","","",""
"3","カヅキ","","アイラの回収担当だが","","",""
"4","ツカサ","","はい……","","",""
"5","カヅキ","","ミチルとザックに任せることにした","","",""
"6","ツカサ","","え……","","",""
"7","カヅキ","","不満か？","","",""
"8","ツカサ","","あ、いえ。そういうことじゃなくて","","",""
"9","ツカサ","","てっきり、カヅキさんが担当するのかと","","",""
"10","カヅキ","","それも考えたんだがな……","","",""
"11","カヅキ","","私情が入りすぎて、冷静な判断ができる気がしねえ！","","",""
"12","ツカサ","","…………","","",""
"13","","","だ、断言した……。","","",""
"14","","","カヅキさんの中で、アイラという存在がいかに大きいのか。\nその言葉を聞いて、理解できた気がする。","","",""
"15","カヅキ","","かと言って、ヤスタカに任せると色々かき回されそうな気もするしな","","",""
"16","カヅキ","","シェリーだけでやってくれるなら、なにも言うことはねえんだが","","",""
"17","ツカサ","","は、はは……","","",""
"18","","","どんな顔をしていいのか分からなくて、とりあえず笑ってごまかした。","","",""
"19","カヅキ","","ミチルも入れ込みすぎるところはあるが、それは想定内だ。私もフォローする","","",""
"20","カヅキ","","“身内を回収する”ってのは、ミチルの今後を考えると乗り越えなくちゃいけない壁なんだよ","","",""
"21","カヅキ","","父親の件は、やっぱりあいつの心の一番真ん中にあるものだからな","","",""
"22","ツカサ","","…………","","",""
"23","ツカサ","","分かりました。ミチルとザックに、お任せします","","",""
"24","カヅキ","","別にそこまでかしこまらなくていい","","",""
"25","カヅキ","","必要なら、お前とミチルで情報交換しとけ","","",""
"26","ツカサ","","はい","","",""
"27","","","オフィスに戻る。","","",""
"28","","","隣席のミチルは、今は姿が見えない。\n予定表を見ると、今日は朝からずっと外回りになっていた。","","",""
"29","","","夜にでも、寮のミチルの部屋を訪ねることにしよう。","","",""
"30","","","夕食を食べ終えて一段落したところで、俺はアイラに一言断って、部屋を出た。","","",""
"31","","","すぐ隣のミチルの部屋のドアをノックする。","","",""
"32","ツカサ","","…………","","",""
"33","ツカサ","","…………？","","",""
"34","","","反応がない。","","",""
"35","","","まだ帰ってないのかな？","","",""
"36","","","試しにドアの『ＯＰＥＮ』と書かれたボタンにタッチしてみると。","","",""
"37","ツカサ","","あ……","","",""
"38","","","鍵はかかっていなくて、ドアが開き――。","","",""
"39","ミチル","","ザック～～～","","",""
"40","ザック","","…………","","",""
"41","ミチル","","よしよしよしよ～し","","",""
"42","ミチル","","ん～、はぁ～","","",""
"43","ミチル","","くぅ～、んふぅ～","","",""
"44","ザック","","ねえ、ミチル……","","",""
"45","ミチル","","ん～～～？","","",""
"46","ザック","","……見られてるんだけど","","",""
"47","ミチル","","見られてるって、なにが～？","","",""
"48","ザック","","僕ら、見られてるんだけど","","",""
"49","ミチル","","え～、誰に～？","","",""
"50","ザック","","ツカサに","","",""
"51","ミチル","","……！？","","",""
"52","","","あ、目が合った。","","",""
"53","ツカサ","","え、と、こんばんは","","",""
"54","ミチル","","…………","","",""
"55","ミチル","","え、待って。ちょっ、待って……","","",""
"56","","","ミチルはそろりそろりとザックから離れた。","","",""
"57","","","ボサボサになったザックの髪を、申し訳程度に直してあげている。","","",""
"58","","","それからゆっくりと立ち上がって、俺の方へと向かってくると。\n俺の手をつかんで部屋の中に引き込み、ドアを閉めた。","","",""
"59","ミチル","","ああああ、あんた、なななな、なんで……！？　なにしてるの！？　なんで人の部屋のぞき見してるの！？","","",""
"60","ツカサ","","その、ノックはしたんだけど――","","",""
"61","ミチル","","今の、見た！？　ねえ、見たの！？　見てないわよね！？　見てないって言って！","","",""
"62","ツカサ","","ええと……","","",""
"63","ツカサ","","見た……","","",""
"64","ミチル","","見てないって言いなさいよぉ！","","",""
"65","","","ミチルは頭を抱えると、悲鳴にも似た声を上げた。","","",""
"66","ザック","","どうせエルにもバレてるんだし、今さらツカサにだけ口止めしても意味ないでしょ","","",""
"67","","","ザックの方は冷静だなあ……。","","",""
"68","ツカサ","","っていうか、俺、前にザックから聞いた気がするよ。ミチルの、その……スキンシップが激しいって","","",""
"69","","","まさか、ここまでとは思わなかったけど。","","",""
"70","ミチル","","べ、別に深い意味はないから！　ザックって基本的にいい匂いするし、柔らかいから、ああすると癒されるのよっ","","",""
"71","ミチル","","クッションとか抱き枕とかと同じよ！","","",""
"72","ザック","","へえ。僕、ペット以下なんだ","","",""
"73","ミチル","","あ、ごめん、そういう意味じゃなくて、ね……？","","",""
"74","ツカサ","","普段のミチルからは想像できない顔してたね","","",""
"75","ミチル","","あんた、年頃の女子の部屋をのぞき見しといて、なに笑ってんのよ……","","",""
