"アイラ","","じゃあ、お先にね、ツカサ","","",""
"ツカサ","","うん、頑張って","","",""
"","","就業時間が終わってから、アイラはユニットテスティングルームでのテストのため本社へと出かけていった。","","",""
"","","回収日まで１ヶ月を切っているアイラだけど、あのテストは今も続けている。","","",""
"","","俺も付き合った方がいいかなってアイラ本人に聞いてみたら、特に付き添いは必要ないって言われてしまった。","","",""
"","","さてと。","","",""
"","","このまままっすぐ寮に帰っても、ひとりだから時間を持て余しそうだな。","","",""
"","","かと言って俺って、仕事が終わってからどこかへ遊びに行くような、趣味らしい趣味は持ってないし……。","","",""
"","","ふと見ると、カヅキさんとミチルが話していた。","","",""
"ミチル","","今日も付いていきますから","","",""
"カヅキ","","毎回飽きねえな、お前も。別に面白くもねえだろ","","",""
"ミチル","","面白いとか面白くないとか、そういう問題じゃありません","","",""
"","","カヅキさん、どこかに出かけるのかな？","","",""
"","","……居酒屋ぐらいしか思い浮かばないけど。","","",""
"","","ミチルはまさか、それに同行するつもり？\nなんていう勇気の持ち主なんだ。","","",""
"","","って思ったけど、カヅキさんの方はミチルを連れて行くのを渋っているように見えた。飲みに行くっていう様子じゃない。","","",""
"カヅキ","","だいたいなあ、お前ぐらいの年頃なら、仕事帰りにはもっと同世代の連中と遊びにいくもんだぞ","","",""
"ミチル","","そうですか？　やっぱり社会人になると、学生やってる子たちとはまったく会わなくなりますけど","","",""
"カヅキ","","同世代ならそこにもいるだろうが","","",""
"","","と、カヅキさんはいきなり俺を指差した。","","",""
"ツカサ","","お、俺ですか！？","","",""
"","","そう言えば、ミチルとプライベートで遊びに行ったことってなかったな。","","",""
"","","そういう発想すらなかった。","","",""
"","","俺の中では、ミチルは会社の厳しい先輩っていうイメージの方が強いからかな。","","",""
"ミチル","","じゃあ、ツカサも一緒に","","",""
"ツカサ","","へ！？","","",""
"カヅキ","","はあ！？","","",""
"","","いつもなら“ツカサなんかと遊びに行くわけないでしょ！”ってひとりで怒り出しそうなものなのに。","","",""
"","","まさか、俺まで誘われるとは思わなかった。","","",""
"ミチル","","来るわよね、ツカサ。どうせ暇でしょ？","","",""
"ツカサ","","そりゃ、暇だけど……どこへ？","","",""
"","","やって来たのは……なんてことはない、本社ビルだった。","","",""
"","","女性ふたりの付き添いなんて滅多に経験ないから妙に緊張しちゃってたけど、拍子抜けだなあ。","","",""
"カヅキ","","ったく、お前らふたりとも物好きだな","","",""
"","","カヅキさんはさっきからずっと呆れた様子で、先に歩いていく。","","",""
"ツカサ","","ねえミチル。カヅキさん、どこへ向かってるの？　俺、なんにも聞いてないんだけど","","",""
"ミチル","","付いてきたら分かるわよ","","",""
"","","カヅキさんはエレベーターに乗ると、ギフティアのメンテナンスルームが集中している階で降りた。","","",""
"","","ただ、いつも第１ターミナルサービスのギフティアのメンテで使っている階とも、ユニットテスティングルームがある階とも違っていた。","","",""
"","","カヅキさんが入った部屋は、他のメンテナンスルームとなにも変わらないように見えた。","","",""
"","","そこには白衣を着た男性のドクターがいた。","","",""
"カヅキ","","よう、ドクター。今日もよろしく","","",""
"カヅキ","","あ、この二人は付き添いな。邪魔なら帰すから言ってくれ","","",""
"ミチル","","お邪魔します","","",""
"ツカサ","","お、お邪魔します","","",""
"","","カヅキさんはベッドに腰を下ろすと。","","",""
"","","いきなり左足の膝から下を取り外した。","","",""
"ツカサ","","！？","","",""
"","","あ、そうか。","","",""
"","","前に、ミチルから教えてもらったっけ。\nカヅキさんはミチルのお父さんの事件のとき、左足に大怪我をしたせいで、今は義足なんだって。","","",""
"","","一瞬、ギョッとしちゃったよ。","","",""
"","","カヅキさんは外した義足をドクターに見てもらっている。\nということは、ここはギフティアじゃなくて、義足のメンテ用の部屋……なのかな。","","",""
"","","ミチルはと言うと、部屋の隅に立って、カヅキさんの足の様子をじっと見つめていた。","","",""
"","","最初の１０分くらい同席したところで、ミチルは俺をうながして自主的にメンテナンスルームを出た。","","",""
"ミチル","","あれ以上は、本当に邪魔になるから","","",""
"","","この後は、カヅキさんをここで待つらしい。","","",""
"ツカサ","","俺、さっきカヅキさんが義足を外すまで、まったくそれを意識してなかったよ。もう２ヶ月以上一緒に働いてるのに","","",""
"ツカサ","","それってすごい事だよね","","",""
"","","日常生活を送るのに――少なくとも傍目からは――なんの支障もないっていうことなんだから。","","",""
"ツカサ","","俺、たまにカヅキさんにプロレス技をかけられたりするけど、そんな激しい動きをしても問題ないってことでしょ？","","",""
"ミチル","","あんたね……何十年前の話をしてるのよ。これだから素人は","","",""
"ミチル","","今の義手や義足って、パッと見ただけじゃ全然分からないような、精巧なものばっかりよ","","",""
"ミチル","","そもそもＳＡＩ社は、義手や義足で大きくなったメーカーなんだし","","",""
"ツカサ","","あ、そうだったね","","",""
"","","ＳＡＩ社は、アンドロイド事業に参入するまでは、義手や義足を主に製造、販売しているメーカーだったんだ。","","",""
"","","もちろん今でもその事業部は社内に健在だ。","","",""
"ツカサ","","じゃあ、カヅキさんの義足も？","","",""
"ミチル","","そう。ＳＡＩ社製","","",""
"ミチル","","うちの義手や義足って、かなり評判いいらしいわよ","","",""
"ツカサ","","ギフティアを作ってるぐらいだもんね","","",""
"ミチル","","そう。だからあんたが見分けを付けられなくても、別に恥ずかしいことじゃないってこと","","",""
"","","一応、フォローしてくれてるみたいだ。","","",""
"ツカサ","","いつも、カヅキさんについて来てるの？","","",""
"ミチル","","そうね。って言っても、月に一度よ","","",""
