"ツカサ","","ふう……","","",""
"","","ひとしきり、書類を書き終えて、俺は一息ついた。","","",""
"","","窓の外では、朝から雨が降り続いている。","","",""
"","","最近は、アイラの回収が近づいている関係で、オフィスでの事務仕事が増えている。","","",""
"","","俺とアイラが担当する回収対象は、もうほとんど残っていなかった。","","",""
"","","オフィスの中をざっと見回してみる。","","",""
"","","今日、会社に残っているのは、俺とアイラ以外だと、レンさんだけだ。","","",""
"","","アイラはいつもと様子は変わらない。","","",""
"","","今は、みんなのデスクを雑巾で拭いていた。\nそれだけ暇なんだろう。","","",""
"","","と、オフィスの端末が一斉に音を発した。","","",""
"","","社員用の連絡回線だ。\n外回りに出ている誰かからの業務連絡だろう。","","",""
"","","俺はレンさんに目配せして、応答した。","","",""
"ツカサ","","はい、ＳＡＩ社第１ターミナルサービスです","","",""
"","","モニタに表示された相手は、ミチルだった。","","",""
"","","ただ、様子が変だ。","","",""
"ミチル","","う……ぐす……っ","","",""
"ツカサ","","……ミチル？","","",""
"ミチル","","ねえ、どうしよう……、私、どうしたら……ザックが……ザックが……！","","",""
"ツカサ","","どうしたの！？","","",""
"","","泣いている？","","",""
"","","髪で隠れて顔がよく見えない。\nでも肩が震えているのが分かる。","","",""
"","","ミチルがいるのはどこだろう？　今日は、新しい回収担当であるクィンシーのところを初訪問するっていう予定だったはず。","","",""
"ミチル","","ザックが、動かないの……。ねえ、起きてよザック。目を……目を開けてよ……！","","",""
"ミチル","","また、私、置いていかれる……。やだ、いやだよ……！　置いていかないで！","","",""
"ツカサ","","ミチル！","","",""
"ミチル","","……っ","","",""
"","","ミチルはハッとして、画面越しに俺を見た。","","",""
"","","その表情はまだ虚ろだけど、我に返ってくれたみたいだ。","","",""
"ツカサ","","今、どこ？　どこにいるか教えて","","",""
"ミチル","","…………","","",""
"ミチル","","あ、……えっと、その、クィンシーの家の……前……","","",""
"ツカサ","","なにがあったの？","","",""
"ミチル","","ザックが……車に轢かれて……最初は、大丈夫だったのに……今は、意識がなくて……","","",""
"ミチル","","助けて……ザックを……助けて……","","",""
"ツカサ","","分かった。そこでじっとしてて","","",""
"","","アイラが身を乗り出してきた。","","",""
"アイラ","","メンテチームに連絡して、すぐに行ってもらおう","","",""
"アイラ","","こういうときのために、ＳＡＩ社には、派遣専用のメンテチームがいるので","","",""
"","","俺のすぐ横で通話を聞いていたレンさんも、アイラの言葉にうなずく。","","",""
"","","俺はすぐにメンテチームへと連絡を取った。","","",""
"","","１時間後には、ザックは本社のメンテナンスルームへと搬入された。","","",""
"","","オヤジさんもメンテチームへと合流して、ザックが意識を失った状況を調べることになった。","","",""
"","","ザックについては、任せるしかない。","","",""
"","","だから俺たちは、ミチルのそばについていることにした。","","",""
"","","ミチルは、さっき端末に連絡をしてきたときと違って、だいぶ落ち着いたみたいだった。","","",""
"ツカサ","","大丈夫だった？","","",""
"ミチル","","私はね","","",""
"ツカサ","","その足……","","",""
"","","右足首には包帯が巻かれていて、痛々しかった。","","",""
"","","でも――。","","",""
"ミチル","","単にひねっただけ。私の心配なんて必要ないわ","","",""
"ツカサ","","そう……？","","",""
"","","冷静さを取り戻しているようには見えるけど……。","","",""
"アイラ","","本当に？","","",""
"","","アイラが、自分の両手でミチルの手をそっと包み込んだ。","","",""
"アイラ","","無理、してない？","","",""
"ミチル","","…………","","",""
"ミチル","","大丈夫。ありがとう","","",""
"アイラ","","ミチル……","","",""
"ミチル","","アイラ、悪いんだけど、ザックの様子、見てきてくれない？","","",""
"ミチル","","あ、ザックっていうか、エル、ね","","",""
"ミチル","","様子を見に行ったまま、帰ってこないのよ","","",""
