"번호","이름","닉네임","문장","이름번역","닉네임번역","문장번역"
"0","","","アイラが、回収される日がやって来た。","","",""
"1","","","幸いなことに、その日は朝から快晴だった。","","",""
"2","","","朝、起き出していくと、アイラはすでに充電装置から離れて、キッチンでなにやら作業をしていた。","","",""
"3","","","見ると、数種類の乾燥ハーブを混ぜて、小瓶に詰めている。","","",""
"4","ツカサ","","おはよう","","",""
"5","アイラ","","おはよう","","",""
"6","","","いつものように、俺たちは朝を迎えた。","","",""
"7","","","なにか特別なことをしようかとも思ったんだけど。\nアイラは、そういうのは特に望んでいないみたいだったから。\nその意志を尊重した。","","",""
"8","ツカサ","","なにしてるの？","","",""
"9","アイラ","","ハーブをブレンドしてた。しばらく、ツカサがひとりでも飲みやすいようにって思って","","",""
"10","ツカサ","","うわ、本当？　すごく嬉しいよ","","",""
"11","","","瓶は４つくらい用意されていた。\nひとつひとつに、ちゃんとラベルが貼られている。","","",""
"12","ツカサ","","大事に飲むね","","",""
"13","アイラ","","うん。レシピも残しておくから、いつものお店で頼めば、ブレンドしてくれるはず","","",""
"14","ツカサ","","分かった","","",""
"15","ツカサ","","カヅキさんたち、いつ頃来るって？","","",""
"16","アイラ","","お昼過ぎって言ってた","","",""
"17","ツカサ","","そっか……","","",""
"18","アイラ","","この３ヶ月、ありがとう、ツカサ","","",""
"19","ツカサ","","あはは、やめてよ、そんな急に改まって","","",""
"20","","","真正面からその言葉を受け止めたら、きっと涙が出ちゃうから。","","",""
"21","","","俺は必死で笑って、ごまかした。","","",""
"22","ツカサ","","俺こそ、アイラにはたくさんお世話になったから。ありがとう","","",""
"23","アイラ","","うん","","",""
"24","","","部屋のインターフォンが鳴ったのは、正午を少し過ぎてからだった。","","",""
"25","","","訪ねてきたのは制服を着たカヅキさんとコンスタンスで、玄関に出迎えた俺を見て、かすかにうなずいた。","","",""
"26","コンスタンス","","こんにちは。ＳＡＩ社ターミナルサービスです","","",""
"27","カヅキ","","アイラを迎えに来たぞ","","",""
"28","ツカサ","","はい。お願いします","","",""
"29","","","頭を下げると、ふたりを部屋の中へと招き入れる。","","",""
"30","アイラ","","カヅキ、コンスタンス、いらっしゃい","","",""
"31","","","アイラは制服に着替えていた。","","",""
"32","","","回収されるときはこの格好で――って、前から決めていたみたいだ。","","",""
"33","カヅキ","","……よう","","",""
"34","カヅキ","","この部屋に入るのも、久しぶりだな","","",""
"35","アイラ","","３年ぶりだね","","",""
"36","カヅキ","","…………","","",""
"37","アイラ","","…………","","",""
"38","","","カヅキさんは、感慨深げに部屋の中を見回した。","","",""
"39","","","ここ何日かで、アイラは自分の物を整理してしまって、部屋はかなりすっきりと片付いている。","","",""
"40","カヅキ","","まだ時間はある","","",""
"41","カヅキ","","というわけで、アイラ、最後に私にもお茶を淹れてくれないか？","","",""
"42","アイラ","","うん。もちろん","","",""
"43","カヅキ","","コンスタンス、ツカサ、お前らも付き合えよ","","",""
"44","コンスタンス","","ええ、喜んで","","",""
"45","ツカサ","","ありがとうございます","","",""
"46","カヅキ","","で、私は、これで頼む","","",""
"47","","","そう言ってカヅキさんが持っていたバッグから出してきたのは――。","","",""
"48","アイラ","","あ……","","",""
"49","","","ブラウンと白の水玉柄のマグカップだった。","","",""
"50","アイラ","","まだ、持ってたんだ","","",""
"51","カヅキ","","当たり前だろ","","",""
"52","カヅキ","","もっとも、これでお前のハーブティーを飲むのは、はじめてだけどな","","",""
"53","","","その柄には、見覚えがあった。","","",""
"54","","","いつもアイラが使っているものと色違いなんだ。","","",""
"55","ツカサ","","アイラも、たまにマグカップでハーブティーを飲むよね？","","",""
"56","アイラ","","うん","","",""
"57","カヅキ","","ティーカップだって持ってるんだろ？　なんでわざわざ、マグカップでお茶を飲むんだよ","","",""
"58","アイラ","","なんとなく、かな","","",""
"59","アイラ","","せっかくだから、今日はみんなマグカップでそろえよう","","",""
"60","","","アイラは、キッチンの棚から３つのマグカップを用意した。","","",""
"61","","","そのうちふたつは、ゲスト用のもの。","","",""
"62","","","アイラ自身のものは、カヅキさんとおそろいの水玉柄。ただし色はピンク。そして、縁が少し欠けている。","","",""
"63","","","俺がはじめてこの部屋にやって来たときには、アイラはすでにそのマグカップを使っていた。","","",""
"64","","","他にも予備のマグカップはあるのに、アイラは必ずその欠けたマグカップを使う。","","",""
"65","","","新しいのを買ったら――って言ったこともあるけど、アイラは笑って“これでいい”って答えるばかりで、結局、買い換えることはなかった。","","",""
"66","カヅキ","","その欠けたやつ。お前も、まだ使ってたんだな","","",""
"67","アイラ","","……うん","","",""
"68","コンスタンス","","カヅキがアイラと組んでいた頃から、使っていたものですか？","","",""
"69","カヅキ","","ああ","","",""
"70","カヅキ","","あの頃はまだ、アイラはハーブを育て始める前だから、コーヒーやスープが多かったな","","",""
"71","コンスタンス","","欠けているのは、なにが原因です？","","",""
"72","カヅキ","","言っとくが、私が酔っ払って投げて割ったとかじゃないからな","","",""
"73","コンスタンス","","あはは。違いましたか","","",""
"74","アイラ","","カヅキは、酔ってもあんまり物を投げたことはないので","","",""
"75","アイラ","","その代わり、もっとひどいことを、たくさん……","","",""
"76","カヅキ","","な、なんだよ？　そんなひどいこと、したか？","","",""
"77","アイラ","","……カヅキは、どうせ覚えてないので","","",""
"78","","","アイラは、昔のことを思い出したのか、顔が青ざめてる。\nいったい、どんな恐ろしいことが繰り広げられたんだろう。","","",""
"79","","","そのすべては、アイラのみが知る。\nさすがに怖くて聞けない。","","",""
"80","ツカサ","","じゃあ、欠けたのってなにが原因？","","",""
"81","カヅキ","","アイラがドジして床に落としたんだよ","","",""
"82","","","アイラの代わりに、カヅキさんが答えた。","","",""
"83","カヅキ","","これは何代目のマグカップだっけか？　なにしろ、昔からアイラはよく割ってたからな","","",""
"84","カヅキ","","その欠けてるのだって、私は新しいのに買い換えようとしたんだ","","",""
"85","カヅキ","","なのにアイラは、このまま使うって意地になって譲らなくてな","","",""
"86","アイラ","","あれから３年間、一度も割ってないので","","",""
"87","カヅキ","","そりゃ大した成長だな","","",""
"88","","","俺の知らないアイラのことを、カヅキさんは知っている。","","",""
"89","","","このふたりは、６年間、この部屋で一緒に暮らしたパートナーだったんだ。","","",""
"90","","","そのことが羨ましい。\n俺ももっとアイラと早く出会っていれば……今のこの関係性も、変わっていたのかな。","","",""
"91","アイラ","","はい、お待たせ","","",""
"92","","","話している間もずっと作業をしていたアイラが、４人分のハーブティーを淹れ終えた。","","",""
"93","アイラ","","熱いから、気を付けて","","",""
"94","","","アイラがそれぞれにマグカップを渡していく。","","",""
"95","","","俺たちは受け取ると、さっそく一口飲んだ。","","",""
"96","カヅキ","","うん。うまい","","",""
"97","アイラ","","ありがとう","","",""
"98","コンスタンス","","これもこれで、いいものですね","","",""
"99","ツカサ","","ですよね","","",""
"100","","","午後の穏やかな時間。\n俺たち４人は、最後のティータイムを楽しんだ。","","",""
"101","","","４つのマグカップを俺とアイラで洗い終えた後。","","",""
