"번호","이름","닉네임","문장","이름번역","닉네임번역","문장번역"
"0","","","……アイラの回収日まで、あと２日。","","",""
"1","","","俺とアイラのコンビが担当する回収仕事は、すでに一件もなく、あとはその日を待つだけになっている。","","",""
"2","","","アイラはそれでも会社に行くことにこだわり、今もお茶汲みに精を出している。","","",""
"3","","","ターミナルサービスのみんなで、アイラのお疲れさま会を開いた以外では、みんなも特別、アイラとの別れを――表向きは――意識している様子はなかった。","","",""
"4","","","この日は、アイラにとって最後のメンテナンスだ。","","",""
"5","アイラ","","ツカサ、わざわざ付き合わなくてもいいんだよ？","","",""
"6","ツカサ","","そう言わずに付き合わせてよ。どうせ暇だからさ","","",""
"7","ツカサ","","それに、エルさんがアイラにいかがわしいことをしないかどうか、監視しておかないと","","",""
"8","","","と、アイラは俺の冗談にハッとした。","","",""
"9","アイラ","","……確かに！","","",""
"10","アイラ","","ツカサ、ちゃんと、見張っててね……","","",""
"11","エル","","ちょっとぉ！　ふたりとも私の扱いひどくないですか！？","","",""
"12","ツカサ","","あはは、冗談ですって……","","",""
"13","エル","","それならいいんですけど……","","",""
"14","","","エルさんは少し不満そうに唇を尖らせ、そのまま流れるようにしてアイラに抱きついて、頬ずりした。","","",""
"15","エル","","アイラっち～、今日もよろしくお願いしますね♪　ん～、相変わらず柔らかいです","","",""
"16","アイラ","","…………","","",""
"17","","","あ、アイラがあからさまにドン引きしてる。","","",""
"18","ツカサ","","エルさん、言ってるそばからなにやってるんですか。アイラが困ってますよ","","",""
"19","エル","","だって、今日が最後のメンテなんですよ。アイラっちともうこうしてスキンシップできないかと思うと……","","",""
"20","アイラ","","メンテは、スキンシップする場所じゃ、ないので……","","",""
"21","ツカサ","","そうですよ。ほらエルさん、アイラから離れて","","",""
"22","","","エルさんの手を取って、できるだけやんわりと引き剥がすと、エルさんは名残惜しそうにしながらもようやくアイラから離れてくれた。","","",""
"23","エル","","ええと、メンテと言っても今日は、全身スキャンをやるだけですから。ほんの数分で終わっちゃいますよ","","",""
"24","","","ベッドに寝そべったギフティアの全身を、ＣＴのようにスキャンする装置を使うらしい。もし異常なところがあった場合、自動的に指摘してくれるんだそうだ。","","",""
