"0","もし、自分の命の時間が、あらかじめ決まっていたとしたら、俺ならどう受け止めるだろう。",""
"1","まだ、春の訪れにはほど遠い、冬の日の夜。",""
"2","閉店間際のショッピングモール。ちょうど閉まりかけたそのエレベーターに、ほとんど滑り込むようにして乗り込んだのは――",""
"3","急遽決まった採用面接のために、なんとしてもその日のうちにスーツを買わなくちゃいけなかったからで。",""
"4","あと数秒でも遅れていれば、エレベーターの扉は閉まり、君と出会うことはなかったかもしれない。",""
"5","誰も乗っていないものだと思ったエレベーターの中。",""
"6","窓の外の、色鮮やかに輝く冬の街を背景にして。",""
"7","声も出さず静かに涙を流していた君が振り返ったのは――",""
"8","俺が君に気付いたのと、ほぼ同時だった。",""
"9","その銀色の髪も。",""
"10","泣き濡れた赤い瞳も。",""
"11","それまでの俺の人生で出会ったどんな人よりも神秘的で、儚くて。",""
"12","しばらくの間、目が離せなかった。",""
"13","このとき、俺はもう、名前も知らない君のことを、好きになっていたんだと思う――",""
