"번호","이름","닉네임","문장","이름번역","닉네임번역","문장번역"
"0","","","朝。目を覚まして顔を洗った俺は、自分の頬を叩いて気合いを入れた。","","",""
"1","ツカサ","","よし……","","",""
"2","ツカサ","","アイラを、デートに誘おう","","",""
"3","","","アイラは、朝からベランダで洗濯物を干しているところだった。","","",""
"4","","","っていうか、アイラが、洗濯を……！？","","",""
"5","","","アイラがそんなことをしているのを見るのは、はじめてだ。","","",""
"6","ツカサ","","アイラ、おはよう。ちょっと話があるんだけどいいかな？","","",""
"7","アイラ","","ん","","",""
"8","ツカサ","","ちなみに、それ、自分で洗濯したの？","","",""
"9","アイラ","","別にどうってことない","","",""
"10","","","アイラは、頑張って背伸びをして、物干し竿に洗濯物をかけている。足元がフラフラしていて、見ていて危なっかしい。","","",""
"11","ツカサ","","だ、大丈夫？　手伝おうか？","","",""
"12","アイラ","","平気。それで、話って？","","",""
"13","ツカサ","","ああ、うん。次の休みなん……だけ……ど……","","",""
"14","","","言いかけて、アイラが洗濯かごから取り出した洗濯物がなにかに気付いた。","","",""
"15","ツカサ","","！？　うわあああああ！！　それ、俺のパンツ！！","","",""
"16","アイラ","","……？","","",""
"17","ツカサ","","じ、自分の分は自分でやるよ！","","",""
"18","","","慌てて、アイラが手にしているパンツを奪取しようとした。","","",""
"19","","","ところがなぜかアイラは抵抗し、それを離そうとしない。","","",""
"20","アイラ","","ツカサ、これは、私の仕事","","",""
"21","ツカサ","","今まではいつもクリーニングに出してたじゃないかぁ","","",""
"22","アイラ","","洗濯に目覚めたので","","",""
"23","ツカサ","","それはいいけど、さすがに下着まで洗わせるわけにはいかないって……","","",""
"24","アイラ","","下着……","","",""
"25","","","アイラは、自分が持っているのが俺の下着だとようやく気付いたみたいだった。","","",""
"26","アイラ","","……へ、平気","","",""
"27","ツカサ","","俺は平気じゃないんだって！","","",""
"28","ツカサ","","と、とにかく、自分の分は自分でやるから！　わざわざ、ありがとう！","","",""
"29","","","なんとかしてアイラから下着を引ったくり、洗濯かごの中からも急いで自分の洗濯物を回収して、ベランダから退散した。","","",""
"30","ツカサ","","はあ……","","",""
"31","","","洗濯物を投げ出し、ベッドに倒れ込む。","","",""
"32","","","そこで、致命的なミスに気付いた。","","",""
"33","ツカサ","","あ。デート、誘いそびれた……","","",""
"34","","","言い出すタイミングを失ってしまった。","","",""
"35","","","い、行き当たりばったりはやめて、少し作戦を練ろう。","","",""
"36","","","っていうか、それよりもまずは、覚悟を決めるためにも退路を断った方がよさそう。","","",""
"37","","","というわけで俺は、ターミナルサービスの男性陣に頼み込んで会議室に集まってもらうと、みんなの前できっぱりと宣言した。","","",""
"38","ツカサ","","アイラを、デートに誘おうと思います","","",""
"39","タカオ","","ええ！？","","",""
"40","ヤスタカ","","ほお～","","",""
"41","レン","","ちょ、ちょっと待った。早まっちゃダメだ、ツカサくん","","",""
"42","ザック","","だよねー。前に遊園地に連れて行こうとしたら、思い切り拒否されたんじゃなかったっけ？","","",""
"43","ツカサ","","うっ","","",""
"44","コンスタンス","","ザック、古傷を抉るのはやめてあげた方が……","","",""
"45","タカオ","","でもさあ、距離感って大事だよ？　あんまり馴れ馴れしくすると、逆に嫌われちゃうんだよねえ","","",""
"46","ツカサ","","うぐっ","","",""
"47","タカオ","","最近娘に話しかけても、イヤそうな顔しかされなくて……","","",""
"48","レン","","体験談ですか……","","",""
"49","コンスタンス","","課長の話はひとまず置いておきましょう","","",""
"50","タカオ","","ええー？　聞いてよー","","",""
"51","ヤスタカ","","ツカサ、よく言ったナ。俺は君の味方だヨ","","",""
"52","ツカサ","","ヤスタカさん……","","",""
"53","ヤスタカ","","コンスタンス。ツカサに、デートの誘い方をレクチャーしてやってくれ","","",""
"54","コンスタンス","","ツカサがまっすぐに、そして誠実に話せば、きっとアイラにもその想いは伝わりますよ","","",""
"55","ザック","","うわ、即答。しかも無難な答えだな～","","",""
"56","コンスタンス","","何事も、心の持ちようです。それは今も昔も変わりませんよ","","",""
"57","ツカサ","","ありがとう、コンスタンス！　参考になるよ！","","",""
"58","タカオ","","僕の話も聞いてほしいんだけど……","","",""
"59","","","課長の話は、聞いてる方の人間が精神が削られるからか、誰も相手にしなかった。","","",""
"60","","","よし、とりあえずみんなには公言したし、これで後には引けなくなったぞ。","","",""
"61","","","そうやって自分を追い込むことで、なあなあでは済ませず行動に移す。これは、俺の覚悟だ。","","",""
"62","","","と、会議室からオフィスに戻ってみると、アイラが俺の席の上をキレイに片付け、ご丁寧に雑巾で拭いてくれているところだった。","","",""
"63","ツカサ","","わ、もしかして片付けてくれたの？","","",""
"64","アイラ","","少し散らかっていたので","","",""
"65","ツカサ","","なんか悪いなぁ。やらせちゃって……","","",""
"66","アイラ","","大丈夫。これも、パートナーの仕事","","",""
"67","","","よ、よし。いい雰囲気だ。\n誘うなら、今しかない！","","",""
"68","ツカサ","","ところで、今度の休みなんだけど……","","",""
"69","","","言いかけたところで、本当にさっぱり片付いてしまっている机の上を見て、俺は首を傾げた。","","",""
"70","ツカサ","","あれ？　ここに置いてあった書類はどこに？","","",""
"71","アイラ","","捨てた","","",""
"72","ツカサ","","え！？　あれはまだ使うんだけど――","","",""
"73","アイラ","","！？","","",""
"74","","","と、アイラは見る見るうちに顔を青くした。","","",""
"75","ツカサ","","あぁ、大丈夫大丈夫、新しく作り直せばいいし……","","",""
"76","アイラ","","……っ","","",""
"77","","","アイラは、プルプル震えながらゴミ箱を必死に漁り、中からくしゃくしゃになった書類を拾い上げた。","","",""
"78","アイラ","","……っ、……っ","","",""
"79","","","アイラ、書類のシワを手で何度も何度ものばすが、元には戻らず。","","",""
"80","ツカサ","","ほ、本当に、大丈夫だから","","",""
"81","アイラ","","ごめんなさい……","","",""
"82","","","アイラはすっかりしょんぼりしてしまっている。","","",""
"83","","","今、デートの話を切り出すのは、やめておこう……。","","",""
"84","","","午後に、担当している回収案件を二件回って、この日の仕事は終了。","","",""
"85","","","運転はアイラに任せて、俺は助手席で手元にある書類を一通りチェックする。","","",""
"86","","","今日、サインをもらってきた回収同意書に不備がないことをざっと確認して、一息ついた。","","",""
"87","ツカサ","","よし、問題なし、と。思ったより順調だったね","","",""
"88","","","アイラは運転しながらうなずく。","","",""
"89","","","マーシャの件があった直後なだけに、俺もアイラも仕事をちゃんとこなせるか、少し不安だったんだけど。","","",""
"90","","","本当にあっさりとサインをもらえて、トラブルなんか一切なくて、心からホッとした。","","",""
"91","","","……今のこのタイミングは、チャンスじゃないだろうか。","","",""
"92","ツカサ","","あのさ、アイラ。大事な話があるんだ","","",""
"93","アイラ","","私も、大事な話がある","","",""
"94","ツカサ","","へ！？　な、なに！？","","",""
"95","","","まさか、アイラにそう返されるとは思ってもみなくて、俺はたまらず助手席で姿勢を正した。","","",""
"96","","","アイラの方は、やたらモジモジしている。","","",""
"97","ツカサ","","…………","","",""
"98","ツカサ","","もしかして、トイレ？","","",""
"99","","","恐る恐る問いかけてみたら、アイラは首をブンブンと左右に振った。\nでも、涙目だった。","","",""
"100","アイラ","","……道に、迷ったみたい","","",""
"101","ツカサ","","……へ？","","",""
"102","アイラ","","帰り道、分からなくなって","","",""
"103","アイラ","","どうしよう？","","",""
"104","ツカサ","","あ、ははは。ナビ、付ければいいのに","","",""
"105","アイラ","","いいカッコ、しようと思ったので","","",""
"106","ツカサ","","ナビ付けるのは、別にカッコ悪くないって……","","",""
"107","","","俺はできるだけアイラを傷つけないよう、軽く言いながら、車に備え付けのナビを起動させた。","","",""
"108","","","また、誘うタイミングを失っちゃったなあ……。","","",""
"109","ヤスタカ","","まだ誘えてない！？","","",""
"110","ツカサ","","はい……","","",""
"111","ザック","","そんなことだろうと思った","","",""
"112","","","会社に戻った後、ヤスタカさんとザックに状況を聞かれて、俺は正直にありのままを話した。","","",""
"113","ヤスタカ","","おいおい、朝の威勢のよさはどうしたんだ？","","",""
"114","ザック","","ヘタレなツカサに無理強いするのはよくないと思うな","","",""
"115","ヤスタカ","","いいや、勢いって大事だヨ？　多少強引なぐらいがいいんだって","","",""
"116","ヤスタカ","","今頑張らなくていつ頑張る！？　今日という日は、今日しかないんだゼ！","","",""
"117","ツカサ","","そ、そうでしょうか……","","",""
"118","ヤスタカ","","そうだヨ！　さあ、勝負を決めに行こう！","","",""
"119","","","ヤスタカさんは、やけにグイグイと俺の背中を押してきた。\nこの人って、こんなに親身になって相談に乗ってくれる人だったっけ？","","",""
"120","","","アイラは、ひとりでハーブに水をやっているところだった。","","",""
"121","ヤスタカ","","ほら、行けって。ゴーゴー！","","",""
"122","","","物陰に隠れたヤスタカさんが、俺をけしかけてくる。\nザックもちゃっかり付いてきているし。","","",""
"123","","","……ふたりが、なにか企んでるような気がしないでもないけど。","","",""
"124","","","それでも、いつまでもこうしちゃいられない。\nデートに誘うって決めたんだから。","","",""
"125","ツカサ","","アイラ","","",""
"126","","","さり気なく声をかけてみる。","","",""
"127","","","そこで俺ははじめて、アイラが浮かない表情をしていることに気付いた。","","",""
"128","ツカサ","","あれ、なにかあった？　元気、ないみたいだけど","","",""
"129","アイラ","","……今日、ツカサにいろいろ迷惑かけた","","",""
"130","","","さっきの失敗のことを気にしていたらしい。","","",""
"131","ツカサ","","別に気にしなくていいのに","","",""
"132","ツカサ","","っていうか、今日のアイラはなんだかいつもと違ったね。洗濯してくれたり、片付けしてくれたり","","",""
"133","アイラ","","……役に立ちたかったので","","",""
"134","ツカサ","","え？","","",""
"135","アイラ","","ツカサの、役に立ちたかった","","",""
"136","ツカサ","","アイラ……","","",""
"137","","","そのいじらしさを感じて、胸の奥がじんわりと温かくなった。","","",""
"138","ツカサ","","あのさ。今度の休み、よかったら、ふたりでどこか遊びに行かない？","","",""
"139","アイラ","","…………","","",""
"140","","","アイラは、俺の誘いにかすかに首を傾げた。","","",""
"141","アイラ","","それは、なんの仕事？","","",""
"142","ツカサ","","仕事じゃないよ。プライベートで","","",""
"143","アイラ","","…………","","",""
"144","","","あ、びっくりしてる……。","","",""
"145","ツカサ","","つ、つまり、その……","","",""
"146","","","途端に、俺の方がドギマギしてきた。\nもしかして俺だけが勝手に先走っちゃってるんじゃないかって、不安になったから。","","",""
"147","","","それでも、もう止められなかった。\n最後まで言い切るしかない。","","",""
"148","ツカサ","","デ、デ、デート、しよう。ていうか、してくださいっ","","",""
"149","アイラ","","……すれば、ツカサの役に、立てる？","","",""
"150","ツカサ","","役に立つとか、そういうんじゃなくて、でもＯＫしてくれたら、俺はすごく、嬉しい","","",""
"151","アイラ","","…………","","",""
"152","","","アイラは、ハーブの方へと視線を落として、少し考え込んでいる。","","",""
"153","","","うう、胃が痛い。","","",""
"154","","","以前、遊園地に誘って先に帰られたときのショックを思い出して、逃げ出したくなる。","","",""
"155","","","――やっぱり、ダメか。","","",""
"156","アイラ","","分かった","","",""
"157","ツカサ","","だよねえ、そりゃそうだ……へ？","","",""
"158","","","今、なんて……？","","",""
"159","アイラ","","行く","","",""
"160","ツカサ","","プライベートだよ？　本当にいいの？","","",""
"161","アイラ","","……うん","","",""
"162","ツカサ","","…………","","",""
"163","","","まさか、ＯＫしてもらえるなんて……！","","",""
"164","ツカサ","","じゃ、決まりだ！","","",""
"165","アイラ","","うん……","","",""
"166","","","俺の背中を押してくれたヤスタカさんたちも、さぞ喜んでくれているに違いない。","","",""
"167","","","そう思って２人の様子をうかがったら。","","",""
"168","ヤスタカ","","賭けは俺の勝ちだナ","","",""
"169","ザック","","ちぇっ。じゃあ、明日のランチ奢りで……","","",""
"170","","","そういう裏事情は、できれば本人の見えないところでやってください……。","","",""
"171","","","デートの日は、次の休みである３日後だった。","","",""
"172","","","くう、早く３日後にならないかなあ。\n心が浮き立っていて、いまいち仕事が手に付かない。","","",""
"173","","","アイラがそんな俺に、お茶を出してくれる。","","",""
"174","ツカサ","","ありがとう","","",""
"175","アイラ","","うん","","",""
"176","アイラ","","…………","","",""
"177","ツカサ","","…………","","",""
"178","アイラ","","…………","","",""
"179","ツカサ","","３日後、楽しみだね","","",""
"180","アイラ","","うん","","",""
"181","カヅキ","","おいツカサ","","",""
"182","ツカサ","","！？","","",""
"183","","","と、いきなりカヅキさんが俺の襟首をつかんだかと思うと、オフィスの外にまで連れ出された。","","",""
"184","","","壁に押し付けられ、詰め寄られる。","","",""
"185","","","カヅキさんの顔は笑っているけど、目は笑っていなかった。","","",""
"186","カヅキ","","デートするんだってな？","","",""
"187","ツカサ","","は、はいぃ……","","",""
"188","カヅキ","","あんまり浮かれすぎんなよ。アイラのことはお前に任せたが、仕事を適当にしていいわけじゃねえぞ？　あん？","","",""
"189","","","カヅキさんには、俺が最後までアイラのパートナーでいたいということをすでに伝えてあった。そのときは“よく決断してくれた”って言ってくれたんだけど。","","",""
"190","","","今、こうして釘を刺されて、俺はハッとした。\n確かに、カヅキさんの言う通りだ。","","",""
"191","ツカサ","","……わ、分かってます。気を引き締めます","","",""
"192","カヅキ","","それならいい","","",""
"193","","","俺はまだ半人前なんだから、しっかりやらなきゃ。","","",""
"194","","","その後は、浮かれることなく仕事に精を出した。","","",""
"195","","","アイラが現場復帰したことで、担当する回収案件も増えてきている。","","",""
"196","","","それをこなしつつ、深夜は残業して書類の整理をした。\nもともと、まだ慣れていないこともあって、通常の業務時間じゃなかなか全部の書類を処理できなかったんだけど。","","",""
"197","","","それに加えて、これまでのカヅキさんたちの業務日誌なんかも読んで、回収対象や所有者とどう接していけばいいのかの勉強も始めたんだ。","","",""
"198","","","アイラの方は、ユニットテスティングルームでの特訓をまた再開していた。","","",""
"199","","","だから、会社から寮へは、別々のタイミングで帰ることになった。","","",""
"200","","","それでも、寮の部屋で顔を合わせれば、互いにその日のことを報告し合ったりして、コミュニケーションを取るようにしていた。","","",""
"201","","","そんな忙しい日々を過ごしているうちに、あっという間に、デート前日になっていた。","","",""
"202","","","その日は、アイラが先に帰っていたんだけど。","","",""
"203","","","俺が帰ってきたら、アイラがクローゼットの中でなにかを漁っていた。","","",""
"204","ツカサ","","アイラ？　なにか探してるの？","","",""
"205","アイラ","","あ、ツカサ。おかえり","","",""
"206","","","答えたアイラが引っ張り出してきたのは、服だった。","","",""
"207","","","よく見たら、前に俺が“お世話になった人へのプレゼント”と嘘を言って、アイラに買ってあげた服だ。","","",""
