"","","それから、自分の気持ちを整理するのに何日かの時間を費やした。","","",""
"","","でも、整理なんてできるわけがなくて。\nタイムリミットだけが無情にも迫ってくるのを、指をくわえて見ていることしかできなかった。","","",""
"ツカサ","","アイラ、ちょっといい","","",""
"","","アイラは、充電装置のイスに座って、自分の日記を読み返していた。","","",""
"","","そこへ歩み寄り、そっと、回収同意書のファイルを差し出す。","","",""
"アイラ","","…………","","",""
"","","アイラは特に表情を変えず、ファイルの中身を確認した。\nそこにあるのは、自分のプロフィールや顔写真。","","",""
"","","……どんな気持ちなんだろう。","","",""
"ツカサ","","サインは、俺がすることになってる","","",""
"アイラ","","うん。いいよ","","",""
"","","あっさりと、アイラはうなずいた。\nその表情は、むしろ穏やかで。","","",""
"","","数日前、深夜に泣きながら俺にしがみついてきたときとはまるで別人だ。","","",""
"","","俺は、ゴクリと息を呑んで、用意しておいたペンを取り出した。","","",""
"","","いつもは、俺とアイラで回収対象の元へ訪ねていって、その所有者に、サインしてくれと頼んでいた。","","",""
"","","相手の気持ちに、できるだけ寄り添っていたつもりだった。","","",""
"","","でも、いざ自分がこれを書く立場になって、思い知った。","","",""
"","","ここにサインをするっていうことが、こんなにも辛いんだっていうことを。","","",""
"","","これにサインしてくれって要求するのは、とても残酷なことなんだっていうことを。","","",""
"","","同意書にサインしようとするだけで、指が震えてしまう。","","",""
"","","ここでアイラに俺の動揺を見せたりしちゃいけないのに、震えを止めることができない。こんなんじゃ、俺、サインできない……！","","",""
"ツカサ","","……っ","","",""
"アイラ","","ツカサ？","","",""
"ツカサ","","できない……できないよ！","","",""
"","","たまらず、ペンを取り落としてしまった。","","",""
"ツカサ","","こんなの、あんまりだ。だって、アイラはまだこんなに元気で、こんなに温かいのに……","","",""
"ツカサ","","アイラは、ここにいるのに……！","","",""
"ツカサ","","もうすぐ別れなくちゃいけないなんて……、アイラを回収しなくちゃいけないなんて……","","",""
"ツカサ","","俺、そんなの、耐えられないよ","","",""
"アイラ","","ツカサ……","","",""
"ツカサ","","たったの、１ヶ月だよ？　俺とアイラが幸せだった時間が、１ヶ月しかないなんて、そんなの、辛すぎる","","",""
"ツカサ","","幸せなのを知っちゃったから、余計、離れられない……","","",""
"","","自分が女々しくて情けないことを言っていることぐらい、自覚してる。それでも、言わずにはいられない。","","",""
"","","これまでずっと、物わかりのいい人間でいたけど。今回ばかりは、それも限界だった。耐えられそうになかった。","","",""
"ツカサ","","アイラ、逃げよう","","",""
"アイラ","","え……？","","",""
"ツカサ","","一緒に逃げよう。２人だけで。できるだけ遠くに。俺たちのことを誰も知らないところへ","","",""
"アイラ","","ツカサ……でも、それは……","","",""
"ツカサ","","分かってる！","","",""
"","","そんなことしたって無駄だって。\nアイラのタイムリミットからは逃れられないって。","","",""
"","","ミチルのお父さんと同じ結果になるだけだ。ミチル本人から教えてもらったから、どういう結末になるか、よく知ってる。","","",""
"","","でも……！","","",""
"ツカサ","","でも、分かりたくないんだ！","","",""
"ツカサ","","これからも、君と、一緒にいたいんだ……","","",""
"ツカサ","","君と、離れたくないんだ……","","",""
"ツカサ","","頼むよ、アイラ……。一緒に、逃げてほしい……","","",""
"アイラ","","…………","","",""
"アイラ","","いいよ","","",""
"ツカサ","","…………え？","","",""
"アイラ","","いいよ","","",""
"","","アイラが、へたり込んでいた俺の頭を、そっと抱きしめてくれた。","","",""
"アイラ","","ツカサが望むとおりにしよう","","",""
"アイラ","","私、どこまでもツカサについていく","","",""
"アイラ","","辛かったね。ずっと、笑ってくれていたもんね","","",""
"アイラ","","もう、我慢しないで","","",""
"アイラ","","私は、一緒にいるから","","",""
"ツカサ","","う……うう……","","",""
"ツカサ","","ごめん……ごめん、アイラ……！","","",""
"","","アイラが、俺に気を遣ってくれたことが理解できた。\n俺のために、健気にも俺のワガママを受け入れてくれたことが、嬉しいのと同時に、申し訳なくて。","","",""
"","","嗚咽を止めることができなかった。","","",""
"","","アイラはそんな俺の頭を、優しく撫で続けてくれた。","","",""
"","","俺たちは、必要最低限のものだけ持って、ふらりと寮を出た。","","",""
"","","隣室のミチルたちにも、第１ターミナルサービスのみんなにも、俺の親にも、誰にもなにも告げなかった。","","",""
"","","行き先も決めず電車に飛び乗って、何時間も揺られて、何気なく降りた駅は、人の乗り降りなんてほとんどない、寂れた田舎町だった。","","",""
"","","その駅から、２人で手を繋いで、さらに何時間も歩き続けた。","","",""
"","","そうして日が暮れかけた頃に見つけたのが、この教会だった。","","",""
"","","歩きっぱなしで疲れていた俺たちは、許可もなくチャペルに入り、身を寄せ合うようにして座席に腰を下ろした。","","",""
"","","きっと管理をしている人がいるはずで、もし見つかったらどうしようって思ったけど、それを考えられるほどの余裕もなかった。","","",""
"ツカサ","","ふう……","","",""
"アイラ","","疲れた？","","",""
