"0","","","それから、自分の気持ちを整理するのに何日かの時間を費やした。","","",""
"1","","","でも、タイムリミットはもう直前に迫っている。\nこのまま目を逸らし続けるわけにはいかなかった。","","",""
"2","ツカサ","","アイラ、ちょっといい","","",""
"3","","","アイラは、充電装置のイスに座って、自分の日記を読み返していた。","","",""
"4","","","そこへ歩み寄り、そっと、回収同意書のファイルを差し出す。","","",""
"5","アイラ","","…………","","",""
"6","","","アイラは特に表情を変えず、ファイルの中身を確認した。\nそこにあるのは、自分のプロフィールや顔写真。","","",""
"7","","","……どんな気持ちなんだろう。","","",""
"8","ツカサ","","サインは、俺がすることになってる","","",""
"9","アイラ","","うん。いいよ","","",""
"10","","","あっさりと、アイラはうなずいた。\nその表情は、むしろ穏やかで。","","",""
"11","","","数日前、深夜に泣きながら俺にしがみついてきたときとはまるで別人だ。","","",""
"12","ツカサ","","大丈夫？","","",""
"13","アイラ","","うん","","",""
"14","ツカサ","","本当に？","","",""
"15","アイラ","","ツカサに、サインしてほしい","","",""
"16","ツカサ","","…………","","",""
"17","","","俺は、ゴクリと息を呑んで、用意しておいたペンを取り出した。","","",""
"18","","","いつもは、俺とアイラで回収対象の元へ訪ねていって、その所有者に、サインしてくれと頼んでいた。","","",""
"19","","","相手の気持ちに、できるだけ寄り添っていたつもりだった。","","",""
"20","","","でも、いざ自分がこれを書く立場になって、思い知った。","","",""
"21","","","ここにサインをするっていうことが、こんなにも辛いんだっていうことを。","","",""
"22","","","これにサインしてくれって要求するのは、とても残酷なことなんだっていうことを。","","",""
"23","","","同意書にサインしようとするだけで、指が震えてしまう。","","",""
"24","","","ここでアイラに俺の動揺を見せたりしちゃいけないのに、震えを止めることができない。これじゃ、サインできない。","","",""
"25","ツカサ","","……っ","","",""
"26","アイラ","","ツカサ？","","",""
"27","ツカサ","","……たまに、ふと考えちゃうことがあるんだ","","",""
"28","","","気が付けば、口走っていた。","","",""
"29","ツカサ","","このまま、ふたりで遠くに逃げたら、どうなるだろうって","","",""
"30","ツカサ","","ふたりで、誰にもなにも告げずにいなくなるには、どうすればいいだろうって","","",""
"31","アイラ","","…………","","",""
"32","","","と、アイラが充電装置のイスから降りて、俺の頭を優しく抱き寄せてきた。","","",""
"33","アイラ","","辛い思い、させちゃってるね","","",""
"34","ツカサ","","……っ","","",""
"35","","","うつむき、ぐっと奥歯を噛みしめる。そうでもしないと、胸の内から溢れそうになるワガママな衝動を、アイラに吐露してしまいそうだったから。","","",""
"36","","","ここで俺がどれだけそれを言ったって、どうすることもできない。\n分かっているし、これまでこの仕事について、多くのものを見てきたからこそ、言わずにいたんだ。","","",""
"37","","","サインしたくないとか、アイラともっとずっと一緒にいたいとか、そういうことは言うべきじゃない。","","",""
"38","","","アイラを、困らせちゃうだけだ。","","",""
"39","","","弱気になりそうなこの衝動を、堪えなくちゃダメなんだ。","","",""
"40","","","俺はアイラから離れると、同意書に自分の名前を一気にサインした。","","",""
"41","","","すぐ横で見守ってくれていたアイラが、その俺の書いたサインを、そっと指でなぞった。","","",""
"42","アイラ","","ありがとう","","",""
"43","","","その日は、ふたりで買い物をしていた。","","",""
"44","","","場所は、いつもの通い慣れたショッピングモール。","","",""
"45","","","アイラのお気に入りのハーブショップにも寄って、あれがいいこれがいいとふたりで話し合いながら、ふたつほどに絞ってハーブを購入した。","","",""
"46","","","あるいは、これがこの場所をふたりで訪れる最後の機会かもしれないけど。そんなことは顔に出さず、俺とアイラは精一杯の“いつも通り”を心がけた。","","",""
"47","","","そろそろ帰ろうかっていう話になったとき、端末にメッセージが届いていることに気付いた。","","",""
"48","ツカサ","","あれ、ミチルだ。けっこう何度も連絡くれたみたいだけど、どうしたんだろう","","",""
"49","","","受信した映像メッセージを再生してみた。","","",""
"50","","","オフィスで撮ったらしいその録画映像には、ミチル自身の姿が映っていた。なぜか照れくさそうだ。","","",""
"51","ミチル","","お疲れ様。今日、あんたたち休みよね","","",""
"52","ミチル","","もし気が向いたら、日が暮れた頃にオフィスに顔出しなさいよ","","",""
