"","","あれから、夏が過ぎ、秋が過ぎ、冬が過ぎて、また、春がやって来た。","","",""
"","","約９ヶ月の海外研修を終えて帰ってきた俺が真っ先に向かったのは、あのショッピングモールだった。","","",""
"","","帰国した時間が遅かったせいか、到着したときには閉店間際で、慌ててエレベーターへと駆け込む。","","",""
"","","目当ては、最上階のハーブショップだった。","","",""
"","","帰ってきたら、真っ先にそこへ行って、自分の好きなマジョラムティーの茶葉を買おうって決めていたんだ。","","",""
"","","エレベーターがゆっくりと上昇していく。","","",""
"","","窓の外には、遠くにライトアップされた遊園地の観覧車が見えていた。","","",""
"ツカサ","","…………","","",""
"","","ここに、君はいない。","","",""
"","","俺は、ポケットからキーホルダーを取り出した。\nあの遊園地のヘンテコマスコットだ。色違いのものをふたつ、連結させていつも持ち歩いているんだ。","","",""
"","","それを、ギュッと握りしめて。","","",""
"","","もし、自分の命の時間が、あらかじめ決まっていたとしたら、俺ならどう受け止めるだろう。","","",""
"","","俺は、その限られた時間を、最後の瞬間まで精一杯、生きようって思う。","","",""
"","","翌朝。","","",""
"","","俺は、スーツを着込んでＳＡＩの本社へと歩いていた。","","",""
"","","道には桜の花びらが舞っていて、１年前、新社会人として同じ道を歩いたことを思い出す。","","",""
"","","別部署に異動するかっていう話も来ていた。","","",""
"","","それでも、海外研修の後でここに戻ってくることを希望したのは、俺自身だ。","","",""
"","","ここには、俺と、彼女の想い出が溢れている。","","",""
"","","それを忘れないためにも。それを引き継いでいくためにも。","","",""
"","","俺はやっぱり、ここで働きたかった。","","",""
"","","第１ターミナルサービスのオフィスに顔を出す前に、裏にあるハーブ置き場をのぞいてみた。","","",""
"","","そこには、１年前と変わらずにハーブを植えたプランターが並んでいて、しっかりと手入れもされているのが一目で分かった。","","",""
"","","俺が無理を言って、ミチルとザックに世話を頼んだんだけど。\n２人とも、ちゃんとやってくれていたようで、ついつい笑みがこぼれてしまった。","","",""
"","","オフィスに行くと、見知った顔が出迎えてくれた。","","",""
"カヅキ","","どうだったよ、向こうでの研修は","","",""
"ツカサ","","はい、いろいろ勉強になりました","","",""
"タカオ","","９ヶ月だっけ？　あっという間だったねえ","","",""
"ツカサ","","これからまたここでお世話になります。よろしくお願いします！","","",""
"","","課長とカヅキさんに、頭を下げる。","","",""
"レン","","ツカサくん、またよろしくね！","","",""
"コンスタンス","","おかえりなさい、ツカサ","","",""
"シェリー","","歓迎します、ツカサ。ちなみにヤスタカは、今日も欠勤です","","",""
"ザック","","ねえねえツカサ、聞いてよ。ミチルがバッサリ髪切ったんだよ。しかも、ツカサが海外に行った直後にさ","","",""
"ミチル","","ちょっ、ザック、そんなこと今さらバラすな！","","",""
"","","みんな、変わらないな。","","",""
"ツカサ","","みんな、改めて、よろしくお願いします","","",""
"","","そのとき、オフィスのドアが開いて、制服を着た小柄な女の子が入ってきた。","","",""
"カヅキ","","おっ、ちょうどよかった。紹介する。ツカサ、こいつがお前の新しいパートナーだ","","",""
"","","俺はその子に向き直ると、笑顔で手を差し伸べた。","","",""
"ツカサ","","今日から、俺たちパートナーだね。よろしく","","",""
"","","この場所で、俺は、想い出を胸に、新しい日々を生きていく。","","",""
