"번호","이름","닉네임","문장","이름번역","닉네임번역","문장번역"
"0","アイラ","","あのね、ツカサ","","",""
"1","","","出社の支度を終えて、部屋を出ようとしたときだった。","","",""
"2","アイラ","","会社に行ったら、一緒にしてほしいことがあるの","","",""
"3","ツカサ","","一緒にしてほしいこと？","","",""
"4","","","どんなことだろうと首を傾げる。","","",""
"5","","","会社に行ったらってことは、仕事に関係することなんだろうけど。","","",""
"6","アイラ","","行ったら、分かるので","","",""
"7","","","アイラはそう言うだけで、詳しいことまで話してはくれなかった。","","",""
"8","","","出社したら分かるし、今はいいか。","","",""
"9","","","そう思って、アイラと手を繋ぐ。","","",""
"10","","","そして、今日もアイラと一緒に会社へ向かった。","","",""
"11","","","出社後、案内されたのはオフィスの裏手。アイラがハーブを育てている場所だ。","","",""
"12","","","ということは、一緒にしてほしいっていうのはハーブに関係することなのかな。","","",""
"13","","","肥料を運ぶのに男手が要るとか？","","",""
"14","アイラ","","あのね……","","",""
"15","","","アイラは決意したように口を開いた。","","",""
"16","アイラ","","ツカサにハーブの世話をしてもらいたいの","","",""
"17","ツカサ","","え？","","",""
"18","","","それは予想に反した内容だった。","","",""
"19","","","植物を育てたことなんて、ほとんどないんだけどな。","","",""
"20","ツカサ","","ええと……","","",""
"21","ツカサ","","どうして、俺なの？　そもそもハーブのことは今まで――","","",""
"22","","","――アイラひとりでやってたよね。","","",""
"23","","","そう言い終える前に、ハッとして口を閉じた。","","",""
"24","","","アイラはもうすぐ寿命を迎える。そうなる前に世話を頼みたいって思ってるんだ、自分以外の誰かに。","","",""
"25","","","そして、その相手に俺を選んでくれた。","","",""
"26","アイラ","","無理にとは言わない。だけど、できればツカサにお願いしたくて","","",""
"27","アイラ","","……ダメ、かな？","","",""
"28","","","アイラがじっと見つめてくる。","","",""
"29","","","その眼差しに、俺は……。","","",""
"30","任せてと胸を張る","できるか不安だと言う","","","dummy","dummy"
"31","ツカサ","","任せてよ。期待に応えてみせるから","","",""
"32","","","アイラを安心させたい。","","",""
"33","","","だから、おおげさに胸を張ってみせた。","","",""
"34","アイラ","","よかった","","",""
"35","アイラ","","ツカサなら、そう言ってくれるって思ってた","","",""
"36","アイラ","","引き受けてくれて、ありがとう","","",""
"37","ツカサ","","ダメじゃないよ。ただ、できるかどうか不安で……。俺って、植物の世話とかほとんど経験ないから","","",""
"38","アイラ","","やり方はちゃんと教えるつもり。それでもダメ？","","",""
"39","","","アイラは訴えるように、一度も視線を外さない。","","",""
"40","","","その大きな期待を、裏切ることなんてできなかった。","","",""
"41","ツカサ","","……頑張ってみるよ。でも、アイラみたいにうまくできなくても、怒らないでね？","","",""
"42","アイラ","","それは場合による","","",""
"43","","","意外にもアイラの返事は手厳しかった。","","",""
"44","アイラ","","じゃあ、はじめに……","","",""
"45","","","アイラは花壇をざっと見回して、少し考えこんだ。","","",""
"46","アイラ","","ここにあるハーブの説明から","","",""
"47","ツカサ","","うん","","",""
"48","","","メモ帳を引っ張り出す。もしものときに持ち歩いていたのが幸いした。","","",""
"49","アイラ","","……ツカサは、このハーブのこと知ってる？","","",""
"50","ツカサ","","え？","","",""
"51","","","アイラが指差す先には、白い小さな花をつけたハーブがあった。","","",""
"52","ツカサ","","見たことは、あると思う……","","",""
"53","","","でも、名前とか特徴までは分からなかった。","","",""
"54","アイラ","","これは、カモミール","","",""
"55","アイラ","","植物のお医者さんって呼ばれてて、周りの植物を元気にしてくれるの","","",""
"56","ツカサ","","周りの植物を？","","",""
"57","","","本当に医者みたいだ。","","",""
"58","アイラ","","カモミールが元気なうちは、他のハーブも元気でいられる。だから、カモミールのことを一番気にかけてほしい","","",""
"59","ツカサ","","なるほど","","",""
"60","","","ひとつのハーブに集中する。","","",""
"61","","","それなら、初心者の俺にもできそうだ。","","",""
"62","","","少しだけ気持ちが楽になるのを感じながら、アイラが気を遣ってこのことを最初に教えてくれたのかもしれないと思った。","","",""
"63","アイラ","","次は、手入れの説明","","",""
