"번호","이름","닉네임","문장","이름번역","닉네임번역","문장번역"
"0","","","早朝。俺はアイラと一緒に部屋のベランダで洗濯物を干していた。","","",""
"1","ツカサ","","今日は絶好の洗濯日和だね","","",""
"2","アイラ","","うん。こういう日は洗濯物がカラッと乾くから、好き","","",""
"3","","","目の前に広がる空は晴れ渡っていて、すごく気持ちがいい。","","",""
"4","アイラ","","……あ","","",""
"5","","","次に干そうとした洗濯物を広げて、アイラが声を漏らした。","","",""
"6","","","アイラが手にしているのは俺のターミナルサービスの制服だ。","","",""
"7","ツカサ","","どうかした？","","",""
"8","アイラ","","ボタン、取れそう","","",""
"9","ツカサ","","え！","","",""
"10","","","どのボタンだろう？","","",""
"11","","","調べてみると、一番上のボタンが、ほぼ取れかけていた。糸一本でかろうじてぶら下がってる状態だ。","","",""
"12","ツカサ","","本当だ。洗ってるとき、どこかに引っかけたのかな","","",""
"13","ツカサ","","これ、新品なのに……","","",""
"14","ツカサ","","まだボタンが付いててよかったよ。なくなってたら、新しいボタンを買いに行く羽目になってた","","",""
"15","","","そう前向きに考えることにしよう。","","",""
"16","アイラ","","ボタン、自分で付け直すの？","","",""
"17","ツカサ","","自分の制服だからね。実家だったら、親に頼むところだけど","","",""
"18","ツカサ","","ただ、ボタンを付けるのなんて家庭科の授業以来だから、うまくできるかなぁ","","",""
"19","","","正直、細かい手順は覚えていないから、やり方を調べないと。","","",""
"20","アイラ","","だったら、私やりたい","","",""
"21","ツカサ","","えっ、アイラが？","","",""
"22","アイラ","","こういうの、憧れだったので","","",""
"23","","","……恋人が、俺のためにボタンを付けようとしてくれている。","","",""
"24","","","その事実が、胸の中をじんと熱くした。","","",""
"25","アイラ","","任せてくれる？","","",""
"26","アイラにお願いする","得意なのか聞いてみる","","","dummy","dummy"
"27","ツカサ","","もちろん。アイラにお願いするよ","","",""
"28","アイラ","","やった","","",""
"29","","","アイラは嬉しそうに笑った――と思ったら、すぐに神妙な顔をした。","","",""
"30","アイラ","","……ところで、ツカサ","","",""
"31","ツカサ","","ん？","","",""
"32","アイラ","","ボタンの付け方、教えてくれる？","","",""
"33","ツカサ","","え……","","",""
"34","ツカサ","","もしかして、やったことないの？","","",""
"35","","","聞くと、アイラは小さくうなずいた。","","",""
"36","アイラ","","でも、やればできると思うので","","",""
"37","ツカサ","","なるほど……","","",""
"38","","","難しい作業ってわけじゃないし、きっと大丈夫だろう。","","",""
"39","ツカサ","","アイラって、裁縫は得意なの？","","",""
"40","","","するとアイラは笑顔で。","","",""
"41","アイラ","","ううん、やったことない","","",""
"42","ツカサ","","ええっ？","","",""
"43","アイラ","","でも、大丈夫。やってみたい","","",""
"44","ツカサ","","大丈夫っていうのと、やってみたいっていうのは別の問題だと思うよ……","","",""
"45","","","とはいえ、せっかくアイラが挑戦したいって言ってくれてるんだから、断るわけにもいかないよね。","","",""
"46","ツカサ","","よし、アイラにお願いするよ","","",""
