"번호","이름","닉네임","문장","이름번역","닉네임번역","문장번역"
"0","","","今日は、ディナークルーズに行くことにした。","","",""
"1","","","俺みたいな社会人１年目のペーペーがディナークルーズなんて生意気だっていうのは、自分でもよく分かってるつもり。","","",""
"2","","","でも、前にコンスタンスから招待券をもらった以上、それを使わないのはもったいなかったんだ。","","",""
"3","","","で、詳しく調べてみたら、てっきり会社近くのレストランの招待券だと思っていたものが、港から出るディナークルーズの招待券だと分かって、俺もアイラもビックリしたっていうわけ。","","",""
"4","","","で、とりあえずドキドキしながら来てみたわけだけど。","","",""
"5","","","ディナークルーズで使われる船がすごく大きくて、まずそれに圧倒された。","","",""
"6","","","場違いなところに来ちゃったんじゃないかっていう不安が募る。","","",""
"7","アイラ","","……す、すごいね。こんな大きい船、はじめて乗った","","",""
"8","","","すでに船に乗り込み、今は更衣室へ向かっているところだった。","","",""
"9","","","このディナークルーズには、ドレスコードがある。\n正装に着替えないと、門前払いされる。","","",""
"10","","","コンスタンスはそのために俺とアイラの分の服まで用意してくれた。","","",""
"11","","","会場内の更衣室で着替えることができるってチケットに書いてあるのを事前に確かめておいて、正解だった。","","",""
"12","アイラ","","なんだか、船内で迷子になっちゃいそう。そうなったら、二度とツカサに会えなくなっちゃいそうな気がする……","","",""
"13","ツカサ","","あはは、さすがにそんなことは……","","",""
"14","アイラ","","でも、それぐらい広いよ","","",""
"15","ツカサ","","そ、そうだね","","",""
"16","","","アイラはすっかり緊張しているみたいだ。","","",""
"17","","","もちろん俺も同様なんだけど、ここは彼氏としてアイラを安心させてあげないと。","","",""
"18","ツカサ","","だ、大丈夫っ！　俺が、つ、ついてるよ","","",""
"19","","","胸を張ってそう言ってみせると。","","",""
"20","アイラ","","…………","","",""
"21","アイラ","","ぷっ","","",""
"22","ツカサ","","ええっ？　どうして今、笑ったの？","","",""
"23","アイラ","","だって、ツカサ、すごく無理してるから","","",""
"24","ツカサ","","あ……声で、バレバレだった？","","",""
"25","ツカサ","","頼りにならなくてごめん……","","",""
"26","アイラ","","ううん","","",""
"27","アイラ","","今ので、ちょっとだけ安心できた。緊張してるのは私だけじゃないって、分かったので","","",""
