"","","ミチルとザックからもらった映画特別招待券。その映画を見るために、今日は街に出てきた。","","",""
"","","映画の後には近くの公園でピクニックでもしようと決めて、アイラと早起きしてサンドイッチも作ってきた。","","",""
"アイラ","","雨、降らなくてよかった","","",""
"ツカサ","","本当だね。せっかくサンドイッチまで用意して降られたら、落ち込んで泣いちゃうよ","","",""
"アイラ","","ふふっ。ツカサは大げさ","","",""
"アイラ","","……映画、楽しみだね","","",""
"ツカサ","","アイラは映画館で見るの、はじめてなんだよね？","","",""
"アイラ","","うん。だからドキドキしてる","","",""
"","","そう言ってアイラは胸の辺りを撫でた。","","",""
"","","上映開始時間の１０分前には、映画館に到着した。","","",""
"","","アイラは売店コーナーに興味津々みたいだ。","","",""
"アイラ","","映画を観るときは、ポップコーンを食べるものなの？","","",""
"ツカサ","","決まりじゃないけど、定番だね","","",""
"アイラ","","映画を観ながらポップコーンって、どういう感じなんだろう","","",""
"","","その場面を想像して、アイラは表情をころころ変えた。映画館のポップコーンに憧れがあるのかもしれない。","","",""
"食べながら映画を観ようと言う","映画の内容を考慮しようと言う","","","dummy","dummy"
"ツカサ","","じゃあ、買ってみる？","","",""
"アイラ","","うん、うん！","","",""
"","","アイラはコクコクうなずいた。","","",""
"","","だけど、ハッとして。","","",""
"アイラ","","でもツカサ、ポップコーンの食べ過ぎでお腹いっぱいにならないでね","","",""
"","","確かに順序としては、映画の後にお昼だ。","","",""
"","","もし映画を観ている最中にお腹が膨れてしまったら、お昼のサンドイッチが台無しになっちゃう。","","",""
"ツカサ","","じゃあ、我慢しようかな","","",""
"アイラ","","そう……。それなら、私も","","",""
"","","アイラは苦渋の選択をした。","","",""
"ツカサ","","でもポップコーンを食べるときは、映画の内容を考えた方がいいね","","",""
"アイラ","","内容を考える？","","",""
"","","アイラは首を傾げた。","","",""
"ツカサ","","賑やかな映画ならいいんだけど。静かな大人っぽい映画だと、食べる音が響いちゃって周りに気を遣うんだ","","",""
"アイラ","","あ、そっか","","",""
"アイラ","","今日観るのは、賑やかな映画じゃないよね","","",""
"ツカサ","","ラブストーリーだからね","","",""
"","","まさに例にあげた、静かな大人っぽい作品だ。","","",""
