"번호","이름","닉네임","문장","이름번역","닉네임번역","문장번역"
"0","","","その日のアイラは、熱心に自分の日記を読み返していた。","","",""
"1","","","たまに遠い目をして窓の外を眺めたりして、昔を懐かしんでいるみたいだ。そういう仕草をするのは珍しい。","","",""
"2","","","俺と恋人になってから、アイラは日記を書くのを再開した。","","",""
"3","","","でもそれ以前は、３年近くも書くのはやめていたんだ。","","",""
"4","","","俺とアイラがはじめて一緒に仕事をしたときに、ターミナルサービスのマニュアルがないか聞いたら、なぜかアイラがこの日記を渡してきて、びっくりしたのを覚えてる。","","",""
"5","","","そのあと、返すタイミングがなかったこともあって、日記はしばらく俺の手元にあった。","","",""
"6","","","そこには、アイラがそれまでにやってきた仕事のことが書かれていた。","","",""
"7","","","回収対象と所有者の気持ちに寄り添う――。","","",""
"8","","","今の第１ターミナルサービスのやり方の基礎となった、アイラの仕事への向き合い方について、アイラの気持ちも含めて書いてあったんだ。","","",""
"9","","","アイラは今、その日記を読み返して、なにを思い出しているんだろう。","","",""
"10","","","俺は、声をかけるのはなるべく控えることにした。","","",""
"11","","","ハーブティーを淹れてあげると、アイラはすぐに匂いで気付いたらしい。","","",""
"12","","","ずっと日記を読むのに集中していたけど、ふと顔を上げて俺を見た。","","",""
"13","アイラ","","これは……オレンジピール？","","",""
"14","ツカサ","","当たり","","",""
"15","","","いつもはアイラがお茶のセットを用意してくれるけど。","","",""
"16","","","集中していたから、たまにはっていうことで挑戦してみたんだ。","","",""
"17","ツカサ","","はい、どうぞ","","",""
"18","","","カップにハーブティーを注いで、アイラの前に置く。","","",""
"19","","","アイラは香りを楽しみながら、一口、口に含んだ。","","",""
"20","アイラ","","うん、上出来","","",""
"21","ツカサ","","やった","","",""
"22","","","ふたりして笑い合って、ハーブティーをゆっくりと飲む。","","",""
"23","","","こんな時間が、一番、心が安らぐ。","","",""
"24","","","そのことを、俺はアイラに教えてもらった。","","",""
"25","アイラ","","ツカサ、この日記、全部読んだ？","","",""
"26","読んだよ","全部は読んでない","","","dummy","dummy"
"27","ツカサ","","読んだよ","","",""
"28","ツカサ","","アイラの秘密が、全部書いてあった","","",""
"29","アイラ","","秘密っていうほどの秘密でも、ないけど……","","",""
"30","ツカサ","","アイラが仕事のときにどんなことを考えてるのか。なにを大切にしたいと思ってるのか。知ることができたから","","",""
"31","ツカサ","","この日記があったおかげで、俺、アイラのパートナーが務まってるのかもしれない。あはは","","",""
"32","アイラ","","…………","","",""
"33","ツカサ","","全部は読んでないんだ","","",""
"34","ツカサ","","なんだか、アイラの秘密をのぞき見ちゃってるような気がして……その、だんだん、ドキドキしてきちゃうっていうか","","",""
"35","ツカサ","","あっ、決して、やましい気持ちっていうわけじゃないから……！","","",""
"36","アイラ","","ツカサには、全部読んでほしいな。それでね、私のこと、ツカサに全部知ってほしい","","",""
"37","ツカサ","","アイラ……","","",""
"38","アイラ","","今すぐじゃなくても、いいので","","",""
"39","ツカサ","","うん","","",""
"40","アイラ","","日記でね、途中にチェルシーっていう子が出てくるの","","",""
"41","ツカサ","","その子も、ギフティア？","","",""
"42","アイラ","","うん。そう","","",""
"43","アイラ","","私にとってはじめてできた、プライベートでの友達","","",""
"44","ツカサ","","へえ","","",""
"45","アイラ","","チェルシーとはね、近くの公園で出会ったんだよ。ほら、この前、一緒に行ったよね？","","",""
"46","ツカサ","","ああ、あの緑地公園のこと？","","",""
"47","","","アイラはあそこには何度か行ったことがあるような様子だった。\nそれに、なにか特別な想い出があるようにも見えた。","","",""
"48","","","詳しいことは教えてもらえなかったから、ずっと引っ掛かっていたんだ。","","",""
"49","アイラ","","寮から、歩いて行けるでしょう？　だからたまに、ひとりで散歩に出かけてた","","",""
"50","アイラ","","その当時はカヅキと一緒に暮らしてたんだけど、だいたい、カヅキとケンカしたときが多かったかな","","",""
"51","ツカサ","","カヅキさんとケンカするなんて……すごいね、アイラ","","",""
"52","アイラ","","ふふふ","","",""
"53","ツカサ","","公園では、どんなことしてたの？","","",""
"54","アイラ","","ベンチに座って、みんなが遊んでるのをぼんやり見てたり","","",""
"55","ツカサ","","遊園地に行ったときと同じだね","","",""
"56","アイラ","","あとはひなたぼっこしたり","","",""
"57","","","ぼんやりするのは変わらないみたいだ。","","",""
"58","アイラ","","でね、そうしたらある日、アレキサンダーが突進してきたの","","",""
"59","ツカサ","","ア、アレキサンダー……？","","",""
"60","アイラ","","うん。アレキサンダー。すごい突進だった","","",""
"61","アイラ","","……！？","","",""
"62","アイラ","","ひゃあ！","","",""
"63","チェルシー","？？？","こら、アレキサンダー！　ストップ！　すとーっぷ！","","",""
"64","チェルシー","女の子","ごめんね、うちのアレキサンダーが迷惑かけちゃって。大丈夫だった？","","",""
"65","アイラ","","あわわ、ななな、なにが、起き、起きたので！？","","",""
"66","チェルシー","女の子","本当に大丈夫？　しっかりして！","","",""
"67","チェルシー","女の子","あなたは今、うちのアレキサンダーに……あ、犬のことね。アレキサンダーに突進されて、のしかかられて、顔をペロペロされたの！","","",""
"68","アイラ","","顔を、ペロペロ……","","",""
"69","アイラ","","ビックリした","","",""
"70","チェルシー","女の子","私もビックリしまくりだよぉ。アレキサンダーが女の子を食べちゃったーって思ったもん","","",""
"71","チェルシー","女の子","こらぁ、アレキサンダー。ちゃんと反省して！　この子にも謝って！","","",""
"72","チェルシー","女の子","よし！","","",""
